Game ID, Expected payoff of player1 from approx, Expected payoff of player1 real, epsilon player1, Expected payoff of player2 from approx, Expected payoff of player2 real, epsilon player2, player_1_strategy, player_2_strategy
33, 0.460526, 0.881579, 0.421053, 0.625, 0.619658, -0.005342, "[0.5, 0.5, 0.0, 0.0]", "[0.5, 0.5, 0.0, 0.0]"
34, 0.75, 0.789473, 0.039473, 0.644737, 0.708334, 0.063597, "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5]"
35, 0.805556, 0.805556, 0.0, 0.842106, 0.315789, -0.526316, "[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.0, 0.5]"
36, 0.805556, 0.740741, -0.064815, 0.842106, 0.736842, -0.105263, "[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.0, 0.5]"
37, 0.805556, 0.729089, -0.076466, 0.842106, 0.380282, -0.461823, "[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.0, 0.5]"
38, 0.944444, 0.555556, -0.388888, 0.882353, 0.941176, 0.058823, "[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5]", "[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
39, 0.666666, 0.602602, -0.064065, 0.611111, 0.336976, -0.274135, "[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]", "[1.0, 0.0, 0.0, 0.0]"
40, 0.605263, 0.526316, -0.078947, 0.736842, 1.0, 0.263158, "[1.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
41, 0.605263, 0.701754, 0.096491, 0.736842, 0.776316, 0.039474, "[1.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
42, 0.605263, 0.432251, -0.173012, 0.736842, 0.742691, 0.005849, "[1.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
43, 0.527778, 0.722222, 0.194444, 0.805556, 0.944444, 0.138888, "[1.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0]"
44, 0.705882, 0.819005, 0.113122, 0.625, 0.558823, -0.066177, "[0.0, 0.0, 1.0]", "[0.5, 0.5]"
45, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, "[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
46, 0.794118, 0.647059, -0.147058, 0.394737, 1.0, 0.605263, "[0.5, 0.5, 0.0]", "[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
47, 0.794118, 0.558824, -0.235293, 0.394737, 0.654972, 0.260235, "[0.5, 0.5, 0.0]", "[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
