RD Payoff P1, RD Payoff P2, Best Payoff P1, Best Payoff P2
0.736842,0.882353,0.973684,0.911765
0.894737,0.823529,0.973684,0.911765
1.0,0.647059,0.973684,0.911765
0.736841958453679,0.8235291356498177,0.973684,0.911765
0.9172937745309679,0.5828880821291312,0.973684,0.911765
0.6984129933240021,0.4923075761666026,0.777778,0.533334
0.777778,0.722222,0.75,0.777778
1.0,1.0,0.75,0.777778
0.6428569914360944,0.7385619936751882,0.75,0.777778
0.631579,1.0,0.526316,0.861111
0.18181841164450438,0.26190447996077854,0.5,0.611111
0.888889,0.789474,1.0,0.789473
1.0,0.947368,1.0,0.789473
0.7024479492327813,0.5769671052922465,1.0,0.789473
0.9398494975665403,0.7581695598709147,0.894736,0.705882
0.46924062588577187,0.7368414592893717,0.894736,0.705882
0.4627649167423985,0.7333328581507921,0.894736,0.705882
1.0,1.0,1.0,1.0
0.947368,0.894737,1.0,0.842105
0.8229662985435456,0.7894734072834719,1.0,0.842105
0.6558701909874142,0.562122283574054,1.0,0.842105
0.842105,0.947368,0.763158,0.763158
0.947368,1.0,0.763158,0.763158
0.8909774587630742,0.8120303673643481,0.763158,0.763158
0.3518518606572567,0.8823529800086695,1.0,0.882353
1.0,0.4,1.0,0.7
0.7777778236919111,0.5454546228997355,0.727273,1.0
0.8,0.923077,0.7,1.0
1.0,0.823529,0.766666,0.852941
0.8,0.941176,0.766666,0.852941
0.7407403569692457,0.7731092000241551,0.766666,0.852941
0.842105,0.823529,1.0,0.882353
0.8815788407727588,0.6196581140769218,0.789473,0.722222
0.789473164837869,0.7083334292093891,0.921052,0.842106
0.8055559441462536,0.3157892749892953,0.805556,1.0
0.7407410051314675,0.7368420663861978,0.805556,1.0
0.7290879747213048,0.3802827645358202,0.805556,1.0
0.555556,0.941176,1.0,0.882353
0.6026023529028095,0.3369762798435876,1.0,0.611111
0.526316,1.0,0.605263,1.0
0.7017547205736708,0.7763156597232601,0.605263,1.0
0.4322508305753771,0.7426900711945992,0.605263,1.0
0.722222,0.944444,0.527778,1.0
0.8190044697785634,0.5588234971445915,0.852941,1.0
1.0,1.0,1.0,1.0
0.647059,1.0,0.82353,0.578948
0.5588235665015565,0.6549713605198413,0.82353,0.578948
0.5910751564204464,0.6586071279631398,0.82353,0.578948
0.894737,0.631579,1.0,0.789473
1.0,1.0,1.0,0.789473
0.763158156251195,0.6842099022681856,1.0,0.789473
1.0,1.0,0.777778,0.842106
1.0,0.944444,0.868421,0.833334
0.947368,1.0,0.868421,0.833334
0.6140346317120666,0.7555548305277208,0.868421,0.833334
0.823529,0.933333,0.794118,1.0
1.0,1.0,0.916666,0.805556
0.5176470084594298,0.9019607144034133,0.558824,0.833334
0.947368,0.947368,0.894737,0.763158
0.947368,0.789474,0.894737,0.763158
0.7631575684297361,0.7526319674347055,0.894737,0.763158
0.6818478565896678,0.7946337307874116,0.894737,0.763158
0.6543209525752781,0.7634994381679235,0.894737,0.763158
0.6728305093880252,0.7296115266271497,0.894737,0.763158
0.6542881983331019,0.7592289897224143,0.894737,0.763158
0.857143,0.583333,0.5,0.541666
0.5,1.0,0.5,0.541666
0.315790217738631,0.47618874889485335,0.5,0.541666
0.823529,0.8125,0.588235,0.53125
0.888889,1.0,0.777778,0.972222
1.0,0.8,0.84375,0.533334
0.6041665514568384,0.7619048081888691,0.84375,0.533334
0.6874998965189305,0.666666543208855,0.84375,0.533334
1.0,0.842105,0.71875,0.68421
0.7222215549431134,0.6315782547071532,0.71875,0.68421
0.31597222304135386,0.6842107088314074,0.71875,0.68421
1.0,0.705882,1.0,0.82353
0.894737,0.941176,1.0,0.82353
0.7105269847221279,0.6470586868678054,1.0,0.82353
0.8345867341628894,0.6535944891357355,1.0,0.82353
0.6463572727954254,0.6323527918436916,1.0,0.82353
0.894737,0.947368,0.921052,0.894737
0.8759397035182028,0.7222218362627622,0.921052,0.894737
0.8704452416151313,0.7146808692032838,0.921052,0.894737
0.722222,0.888889,0.583334,1.0
1.0,1.0,0.894737,1.0
1.0,1.0,0.868421,0.972222
1.0,1.0,1.0,1.0
0.5,0.588235,1.0,1.0
0.6944453559894246,0.546218632480419,1.0,1.0
0.5263162113262002,0.6215538650302515,1.0,0.842106
0.5730993616120204,0.5839595922559365,1.0,0.842106
0.5767276661123439,0.7727431031993259,1.0,0.842106
0.5781916244121292,0.7060056294028831,1.0,0.842106
0.4731304162193152,0.5807874375720974,1.0,0.842106
0.785714,1.0,0.571428,0.7
0.947368,0.894737,0.868421,0.868421
0.8375680272403633,0.6102872359860045,0.868421,0.868421
0.701503935687069,0.7232705018217314,0.868421,0.868421
0.526316,0.5,0.631579,1.0
0.542936396122,0.80263175,0.736842,0.973684
0.736842,0.842105,0.657894,1.0
1.0,0.842105,0.657894,1.0
1.0,0.736842,0.657894,1.0
1.0,0.736842,0.657894,1.0
0.9097744436825296,0.763158130070776,0.657894,1.0
0.6910755840858147,0.8699688254975885,0.657894,1.0
0.735617839717309,0.7716395010291679,0.657894,1.0
0.5845870975095163,0.7209778591935636,0.657894,1.0
0.7520271753836785,0.7296597157726383,0.657894,1.0
0.789474,1.0,0.894737,1.0
0.444444,1.0,0.722222,1.0
0.2460319750833628,0.8437499268245755,0.722222,1.0
0.25,0.875,0.722222,1.0
0.7438271189616326,0.8736843018312288,1.0,0.789474
0.888889,0.947368,0.805556,0.526316
1.0,1.0,1.0,1.0
0.947368,0.842105,0.789473,1.0
1.0,1.0,0.789473,1.0
0.8336840136002068,0.690283571243661,0.789473,1.0
1.0,0.894737,0.657894,0.789473
1.0,0.947368,0.657894,0.789473
0.9532161029022945,0.8092107467042489,0.657894,0.789473
0.789473637588941,0.6766913148437919,0.657894,0.789473
0.8496241229311161,0.7368423082215185,0.657894,0.789473
